Year,Total Population,Male Population,Female Population
1950,346278821,177866756,168412066
1951,353870057,181867518,172002538
1952,361874903,186091020,175783883
1953,370104574,190411808,179692766
1954,378687138,194907910,183779228
1955,387700887,199634050,188066837
1956,396988903,204503706,192485196
1957,406253888,209327292,196926596
1958,415777442,214294166,201483276
1959,425780669,219547420,206233248
1960,435990338,224897758,211092581
1961,446564729,230447351,216117378
1962,457283090,236052756,221230333
1963,468138575,241706792,226431783
1964,479229598,247474637,231754961
1965,490140146,253125772,237014373
1966,500740247,258584128,242156119
1967,511811735,264286527,247525208
1968,523103423,270119742,252983681
1969,534917046,276211768,258705278
1970,547159512,282536375,264623137
1971,559850750,289095502,270755248
1972,572940028,295849425,277090603
1973,586303267,302745953,283557314
1974,600103485,309873348,290230137
1975,614357983,317219634,297138349
1976,628958758,324757967,304200791
1977,643847949,332456846,311391103
1978,658954670,340256929,318697741
1979,674275662,348162112,326113550
1980,689800248,356165391,333634857
1981,703696250,364008144,339688106
1982,718833234,371768485,347064749
1983,734204282,379647063,354557219
1984,749789900,387633837,362156063
1985,765614634,395741195,369873439
1986,781675134,403969762,377705372
1987,797969603,412319308,385650295
1988,814482646,420782166,393700480
1989,831204190,429355548,401848642
1990,848101672,438015145,410086527
1991,865169671,446754675,418414996
1992,882439678,455593222,426846456
1993,899959037,464554809,435404228
1994,917716719,473639122,444077597
1995,935683821,482831048,452852773
1996,953057301,492117208,460940093
1997,970638695,501493780,469144915
1998,988275215,510945662,477329553
1999,1005797517,520430874,485366643
2000,1023398456,530025310,493373146
2001,1040973135,539677780,501295355
2002,1058443217,549354082,509089135
2003,1076037892,559103426,516934466
2004,1093564036,568846018,524718018
2005,1111049012,578589754,532459258
2006,1128521343,588177368,540343975
2007,1146213790,597710490,548503300
2008,1164234635,607302170,556932465
2009,1182329832,616873245,565456587
2010,1200613391,626363405,574249986
2011,1218281235,636477230,581804005
2012,1237373541,645958163,591415378
2013,1254019488,655264123,598755365
2014,1271483000,664417000,607066000
2015,1289192000,673556000,615636000
2016,1305738000,682564000,623174000
2017,1321977579,691501386,630476193
2018,1338022720,700359510,637663210
2019,1353573000,709195000,644378000
2020,1368737513,717810983,650926530
2021,1383112050,725622480,657489570
2022,1425423212,735977539,689445673
2023,1438069596,742310851,695758745
2024,1441719852,744167425,697552427
2025,1454606724,750434970,704171754
