Year,Predicted Total Population,Predicted Male Population,Predicted Female Population,Type
1950,346278821,177866756,168412066,Historical
1951,353870057,181867518,172002538,Historical
1952,361874903,186091020,175783883,Historical
1953,370104574,190411808,179692766,Historical
1954,378687138,194907910,183779228,Historical
1955,387700887,199634050,188066837,Historical
1956,396988903,204503706,192485196,Historical
1957,406253888,209327292,196926596,Historical
1958,415777442,214294166,201483276,Historical
1959,425780669,219547420,206233248,Historical
1960,435990338,224897758,211092581,Historical
1961,446564729,230447351,216117378,Historical
1962,457283090,236052756,221230333,Historical
1963,468138575,241706792,226431783,Historical
1964,479229598,247474637,231754961,Historical
1965,490140146,253125772,237014373,Historical
1966,500740247,258584128,242156119,Historical
1967,511811735,264286527,247525208,Historical
1968,523103423,270119742,252983681,Historical
1969,534917046,276211768,258705278,Historical
1970,547159512,282536375,264623137,Historical
1971,559850750,289095502,270755248,Historical
1972,572940028,295849425,277090603,Historical
1973,586303267,302745953,283557314,Historical
1974,600103485,309873348,290230137,Historical
1975,614357983,317219634,297138349,Historical
1976,628958758,324757967,304200791,Historical
1977,643847949,332456846,311391103,Historical
1978,658954670,340256929,318697741,Historical
1979,674275662,348162112,326113550,Historical
1980,689800248,356165391,333634857,Historical
1981,703696250,364008144,339688106,Historical
1982,718833234,371768485,347064749,Historical
1983,734204282,379647063,354557219,Historical
1984,749789900,387633837,362156063,Historical
1985,765614634,395741195,369873439,Historical
1986,781675134,403969762,377705372,Historical
1987,797969603,412319308,385650295,Historical
1988,814482646,420782166,393700480,Historical
1989,831204190,429355548,401848642,Historical
1990,848101672,438015145,410086527,Historical
1991,865169671,446754675,418414996,Historical
1992,882439678,455593222,426846456,Historical
1993,899959037,464554809,435404228,Historical
1994,917716719,473639122,444077597,Historical
1995,935683821,482831048,452852773,Historical
1996,953057301,492117208,460940093,Historical
1997,970638695,501493780,469144915,Historical
1998,988275215,510945662,477329553,Historical
1999,1005797517,520430874,485366643,Historical
2000,1023398456,530025310,493373146,Historical
2001,1040973135,539677780,501295355,Historical
2002,1058443217,549354082,509089135,Historical
2003,1076037892,559103426,516934466,Historical
2004,1093564036,568846018,524718018,Historical
2005,1111049012,578589754,532459258,Historical
2006,1128521343,588177368,540343975,Historical
2007,1146213790,597710490,548503300,Historical
2008,1164234635,607302170,556932465,Historical
2009,1182329832,616873245,565456587,Historical
2010,1200613391,626363405,574249986,Historical
2011,1218281235,636477230,581804005,Historical
2012,1237373541,645958163,591415378,Historical
2013,1254019488,655264123,598755365,Historical
2014,1271483000,664417000,607066000,Historical
2015,1289192000,673556000,615636000,Historical
2016,1305738000,682564000,623174000,Historical
2017,1321977579,691501386,630476193,Historical
2018,1338022720,700359510,637663210,Historical
2019,1353573000,709195000,644378000,Historical
2020,1368737513,717810983,650926530,Historical
2021,1383112050,725622480,657489570,Historical
2022,1425423212,735977539,689445673,Historical
2023,1438069596,742310851,695758745,Historical
2024,1441719852,744167425,697552427,Historical
2025,1454606724,750434970,704171754,Historical
2026,1498261133,799735259,698525874,Predicted
2027,1513751500,809635701,704115797,Predicted
2028,1528762245,819393187,709369057,Predicted
2029,1543257915,828993528,714264386,Predicted
2030,1557201988,838422091,718779896,Predicted
2031,1570556857,847663787,722893069,Predicted
2032,1583283821,856703067,726580753,Predicted
2033,1595343067,865523915,729819151,Predicted
2034,1606693659,874109845,732583812,Predicted
2035,1617293517,882443892,734849624,Predicted
2036,1627099414,890508605,736590808,Predicted
2037,1636066951,898286044,737780905,Predicted
2038,1644150548,905757773,738392773,Predicted
2039,1651303430,912904853,738398575,Predicted
2040,1657477611,919707836,737769774,Predicted
2041,1662623882,926146759,736477121,Predicted
2042,1666691793,932201140,734490652,Predicted
2043,1669629644,937849968,731779675,Predicted
2044,1671384467,943071701,728312764,Predicted
2045,1671902011,947844258,724057751,Predicted
2046,1671126733,952145012,718981719,Predicted
2047,1669001779,955950786,713050991,Predicted
2048,1665468969,959237844,706231123,Predicted
2049,1660468790,961981891,698486896,Predicted
2050,1653940372,964158058,689782311,Predicted
